run_id,model_id,aptamer_id,aptamer_name,nucleic_acid_type,target_normalized,target_type,experimental_kd_nm,affinity_pred_value,affinity_probability_binary,affinity_pred_value1,affinity_probability_binary1,affinity_pred_value2,affinity_probability_binary2,result_status,affinity_json_path
task5_0228,UTEXAS_10000823_R859,UTEXAS_10000823,Apt21‐2,RNA,Interleukin-17A (IL‐17A),protein,0.0485,-1.9778105020523071,0.7240291833877563,-2.5602121353149414,1.0,-1.3954088687896729,0.44805842638015747,SUCCESS,/projects/bentosprg6/linwx/research_project/results/task5/batch/task5_0228/boltz_results_task5_0228/predictions/task5_0228/affinity_task5_0228.json
task5_0170,UTEXAS_10000607_R639,UTEXAS_10000607,clone 5,RNA,Bovine factor IX,protein,10,-1.9351720809936523,0.16976016759872437,-2.7502222061157227,3.191023324689013e-06,-1.120121955871582,0.33951714634895325,SUCCESS,/projects/bentosprg6/linwx/research_project/results/task5/batch/task5_0170/boltz_results_task5_0170/predictions/task5_0170/affinity_task5_0170.json
task5_0020,UTEXAS_10000098_R103,UTEXAS_10000098,X1,RNA,Tobramycin,ligand,3,-1.7834416627883911,0.7006022334098816,-2.6727147102355957,1.0,-0.8941685557365417,0.4012044370174408,SUCCESS,/projects/bentosprg6/linwx/research_project/results/task5/batch/task5_0020/boltz_results_task5_0020/predictions/task5_0020/affinity_task5_0020.json
task5_0077,UTEXAS_10000328_R350,UTEXAS_10000328,Clone 30,RNA,N-methyl mesoporphyrin IX (NMM),ligand,660,-1.768578290939331,0.24497990310192108,-2.8274407386779785,1.7110471617343137e-06,-0.7097158432006836,0.48995810747146606,SUCCESS,/projects/bentosprg6/linwx/research_project/results/task5/batch/task5_0077/boltz_results_task5_0077/predictions/task5_0077/affinity_task5_0077.json
task5_0019,UTEXAS_10000097_R102,UTEXAS_10000097,W13 (clone 8),RNA,Tobramycin,ligand,4.3,-1.745768666267395,0.7632651925086975,-2.7538299560546875,1.0,-0.7377074360847473,0.526530385017395,SUCCESS,/projects/bentosprg6/linwx/research_project/results/task5/batch/task5_0019/boltz_results_task5_0019/predictions/task5_0019/affinity_task5_0019.json
task5_0032,UTEXAS_10000165_R180,UTEXAS_10000165,80Cm50*,RNA,Chloramphenicol (Cam),ligand,25000,-1.6857603788375854,0.7707982659339905,-2.673402786254883,0.9626043438911438,-0.6981179118156433,0.5789921879768372,SUCCESS,/projects/bentosprg6/linwx/research_project/results/task5/batch/task5_0032/boltz_results_task5_0032/predictions/task5_0032/affinity_task5_0032.json
task5_0078,UTEXAS_10000347_R369,UTEXAS_10000347,D8,RNA,Sephadex G-100,ligand,,-1.6815646886825562,0.7459299564361572,-3.1839356422424316,0.960960328578949,-0.17919382452964783,0.5308996438980103,SUCCESS,/projects/bentosprg6/linwx/research_project/results/task5/batch/task5_0078/boltz_results_task5_0078/predictions/task5_0078/affinity_task5_0078.json
task5_0083,UTEXAS_10000370_R392,UTEXAS_10000370,Aptamer 10-10,RNA,Guanosine triphosphate (GTP),ligand,28,-1.6753733158111572,0.4634186029434204,-2.2902841567993164,0.4486231207847595,-1.060462474822998,0.4782140552997589,SUCCESS,/projects/bentosprg6/linwx/research_project/results/task5/batch/task5_0083/boltz_results_task5_0083/predictions/task5_0083/affinity_task5_0083.json
task5_0263,UTEXAS_10000983_R1026,UTEXAS_10000983,AptER-3,RNA,Estrogen receptor alpha (ERα),protein,30,-1.6454601287841797,0.20912452042102814,-2.3664441108703613,2.2551439542439766e-06,-0.9244762063026428,0.4182467758655548,SUCCESS,/projects/bentosprg6/linwx/research_project/results/task5/batch/task5_0263/boltz_results_task5_0263/predictions/task5_0263/affinity_task5_0263.json
task5_0048,UTEXAS_10000215_R236,UTEXAS_10000215,XBA RNA,RNA,Guanine,ligand,1300,-1.591085433959961,0.7850326299667358,-2.2741456031799316,0.9873499274253845,-0.9080251455307007,0.5827152729034424,SUCCESS,/projects/bentosprg6/linwx/research_project/results/task5/batch/task5_0048/boltz_results_task5_0048/predictions/task5_0048/affinity_task5_0048.json
