split,prediction,n,mae,rmse,pearson_r,spearman_rho,r2,target_mean,prediction_mean,prediction_std
train,head1_pred,48,47069.70392740235,47072.40466419896,0.01829992828936502,0.004616304522234014,-1253258238.681908,-2.295805657559784,47067.40812174479,504.2577009216572
train,head2_pred,48,3369.419348354484,3370.0174732283967,0.23721957310606392,0.2021398286088823,-6423504.567093105,-2.295805657559784,-3371.7151540120444,63.792635861371615
train,ensemble_pred,48,21850.142289523934,21851.44644744852,0.05100704431611526,0.0038559720126895877,-270064921.8873113,-2.295805657559784,21847.846483866375,238.79781645056735
validation,head1_pred,8,47404.908647620905,47405.22328387478,0.9549436751572259,0.8095238095238096,-36865389337.89917,-1.0409718396575132,47403.86767578125,172.95143372334877
validation,head2_pred,8,3303.076734459171,3304.154211174289,-0.9472662216136299,-0.7619047619047621,-179096478.43570906,-1.0409718396575132,-3304.117706298828,84.14106664846625
validation,ensemble_pred,8,22050.91595658087,22050.968971333703,0.8797004704034728,0.8571428571428572,-7976672989.309424,-1.0409718396575132,22049.87498474121,48.570445470865494
test,head1_pred,8,46742.798854530614,46742.993584519456,0.8903885955309904,0.8095238095238096,-646360372.3617916,-1.3471943743683799,46741.45166015625,136.55844800074857
test,head2_pred,8,3310.9960978619597,3311.281427435217,-0.7169348555364342,-0.30952380952380953,-3243648.0879862653,-1.3471943743683799,-3312.343292236328,42.1317101212588
test,ensemble_pred,8,21715.90137833433,21715.978013790864,0.773106191057782,0.6904761904761906,-139508433.19801477,-1.3471943743683799,21714.55418395996,59.10209636851961
all,head1_pred,64,47070.7413833207,47073.12174831972,0.08385449621507374,0.1230850298959154,-1113709794.5718093,-2.0203750199230743,47068.72100830078,473.50478333974775
all,head2_pred,64,3353.8236153060047,3354.551504338666,0.19166689433267395,0.23861321144473274,-5655811.028645815,-2.0203750199230743,-3355.8439903259277,70.13476727823411
all,ensemble_pred,64,21858.458884007352,21859.618034015464,0.11796257503904867,0.13135176399683174,-240165806.4731748,-2.0203750199230743,21856.438508987427,225.274914835289
