experimental_rank,model_id,kd_nm,boltz_affinity_pred_value,boltz_rank_within_full_set,task5_existing_global_rank
1.0,UTEXAS_10000189_R209,0.001,0.09632560610771179,190.0,262
2.0,UTEXAS_10001319_R1363,0.0062,-0.01785832643508911,180.0,244
3.0,UTEXAS_10000312_R334,0.016,0.45848849415779114,224.0,314
4.0,UTEXAS_10000194_R214,0.03,0.2778898775577545,208.0,292
5.0,UTEXAS_10000823_R859,0.0485,-1.9778105020523071,2.0,2
6.5,UTEXAS_10000190_R210,0.05,-0.9076308012008667,65.0,84
6.5,UTEXAS_10000878_R917,0.05,0.5119950771331787,230.0,322
8.0,UTEXAS_10001103_R1146,0.062,-0.5181161165237427,123.0,161
9.0,UTEXAS_10000191_R211,0.07,-0.5335497856140137,120.0,158
10.0,UTEXAS_10001056_R1099,0.11,-0.4617900848388672,133.0,173
11.0,UTEXAS_10000195_R215,0.12,-0.6681727170944214,96.0,129
12.0,UTEXAS_10000016_R18,0.13,-0.4165700078010559,138.0,180
13.0,UTEXAS_10001434_R1488,0.135,0.8516414165496826,253.0,353
14.0,UTEXAS_10000084_R89,0.14,-0.8798547983169556,69.0,89
16.0,UTEXAS_10000082_R87,0.19,-0.5043758153915405,124.0,162
16.0,UTEXAS_10000015_R17,0.19,-0.4984317719936371,126.0,164
16.0,UTEXAS_10000014_R16,0.19,2.55338716506958,294.0,411
19.5,UTEXAS_10001057_R1100,0.2,0.1440839171409607,197.0,272
19.5,UTEXAS_10000073_R78,0.2,0.16279098391532898,198.0,273
19.5,UTEXAS_10000653_R685,0.2,0.4090178310871124,218.0,305
19.5,UTEXAS_10000652_R684,0.2,0.45985516905784607,225.0,315
22.0,UTEXAS_10000017_R19,0.32,-0.4682755768299103,132.0,172
23.0,UTEXAS_10000654_R686,0.36,0.3640415370464325,214.0,301
25.0,UTEXAS_10000656_R688,0.4,-0.8516178131103516,72.0,94
25.0,UTEXAS_10000146_R161,0.4,-0.5565958619117737,114.0,150
25.0,UTEXAS_10000199_R219,0.4,0.6723686456680298,242.0,337
27.0,UTEXAS_10000074_R79,0.42,2.795278787612915,298.0,415
28.0,UTEXAS_10000202_R222,0.43,0.3512515425682068,212.0,299
29.5,UTEXAS_10000193_R213,0.47,0.7261894941329956,247.0,344
29.5,UTEXAS_10000197_R217,0.47,0.8833190202713013,256.0,358
31.5,UTEXAS_10000081_R86,0.48,-0.7643692493438721,83.0,106
31.5,UTEXAS_10000075_R80,0.48,1.4369016885757446,274.0,381
34.0,UTEXAS_10000201_R221,0.5,0.5367729067802429,234.0,326
34.0,UTEXAS_10000155_R170,0.5,1.7367993593215942,279.0,389
34.0,UTEXAS_10000156_R171,0.5,2.2611844539642334,289.0,403
36.0,UTEXAS_10000013_R15,0.51,-0.4927613139152527,128.0,166
37.0,UTEXAS_10000311_R333,0.56,0.28004616498947144,209.0,293
38.0,UTEXAS_10001411_R1460,0.58,2.039349317550659,284.0,397
39.0,UTEXAS_10001410_R1459,0.65,1.2944837808609009,270.0,377
41.0,UTEXAS_10000203_R223,0.7,-0.5539452433586121,117.0,153
41.0,UTEXAS_10000200_R220,0.7,0.13684257864952087,195.0,269
41.0,UTEXAS_10000157_R172,0.7,2.181232213973999,287.0,400
43.0,UTEXAS_10000204_R224,0.8,-0.5899106860160828,110.0,146
44.0,UTEXAS_10000083_R88,0.82,-0.5574018955230713,113.0,149
45.0,UTEXAS_10000152_R167,0.9,2.0644264221191406,285.0,398
46.0,UTEXAS_10000154_R169,0.92,-1.3424186706542969,28.0,34
47.0,UTEXAS_10000147_R162,0.96,-0.8524100184440613,71.0,93
48.0,UTEXAS_10001302_R1346,1.0,1.4817613363265991,277.0,384
49.5,UTEXAS_10001246_R1290,1.1,-0.2915167808532715,154.0,201
49.5,UTEXAS_10000076_R81,1.1,2.8375635147094727,299.0,416
51.0,UTEXAS_10000198_R218,1.13,0.9273055195808411,258.0,360
52.0,UTEXAS_10000205_R225,1.2,-1.3321421146392822,30.0,36
53.0,UTEXAS_10000079_R84,1.4,2.582613706588745,296.0,413
54.0,UTEXAS_10000655_R687,1.6,-0.47320833802223206,130.0,170
55.0,UTEXAS_10000080_R85,1.7,-0.7414871454238892,87.0,113
56.0,UTEXAS_10000078_R83,1.8,1.3583643436431885,272.0,379
57.0,UTEXAS_10001301_R1345,1.9,0.3971596956253052,216.0,303
58.5,UTEXAS_10000099_R104,2.0,-1.0883060693740845,52.0,63
58.5,UTEXAS_10000368_R390,2.0,2.026287317276001,283.0,396
60.0,UTEXAS_10000574_R603,2.1,-0.15973129868507385,166.0,219
61.0,UTEXAS_10001298_R1342,2.2,0.9311208128929138,259.0,361
62.0,UTEXAS_10001423_R1475,2.4,-0.6713506579399109,95.0,128
63.0,UTEXAS_10001186_R1230,2.5,1.125248670578003,265.0,369
64.5,UTEXAS_10001194_R1238,2.6,-0.13372600078582764,167.0,223
64.5,UTEXAS_10001303_R1347,2.6,0.5863029360771179,238.0,332
66.5,UTEXAS_10001416_R1465,2.9,-1.6351125240325928,14.0,16
66.5,UTEXAS_10001420_R1471,2.9,2.4516828060150146,292.0,408
68.5,UTEXAS_10000098_R103,3.0,-1.7834416627883911,6.0,7
68.5,UTEXAS_10000011_R13,3.0,-0.3308321535587311,149.0,194
70.0,UTEXAS_10000010_R12,3.2,0.06065493822097778,189.0,258
71.0,UTEXAS_10001427_R1480,3.49,2.622361183166504,297.0,414
72.0,UTEXAS_10001249_R1293,3.7,-0.7583444714546204,84.0,107
73.0,UTEXAS_10000573_R602,3.9,-0.2226436734199524,163.0,213
74.5,UTEXAS_10001414_R1463,4.0,0.23454934358596802,203.0,286
74.5,UTEXAS_10001299_R1343,4.0,0.6767864227294922,243.0,338
76.0,UTEXAS_10000911_R952,4.2,0.9131588339805603,257.0,359
77.0,UTEXAS_10000097_R102,4.3,-1.745768666267395,9.0,10
78.0,UTEXAS_10000959_R1000,4.58,0.20658153295516968,201.0,278
79.5,UTEXAS_10000898_R938,4.7,0.029311180114746094,186.0,254
79.5,UTEXAS_10001300_R1344,4.7,1.1904090642929077,266.0,372
81.0,UTEXAS_10000993_R1036,4.98,-0.997730553150177,58.0,73
82.0,UTEXAS_10000009_R11,5.0,0.6609866619110107,241.0,336
83.0,UTEXAS_10000235_R256,5.15,-1.840449571609497,4.0,4
84.0,UTEXAS_10000541_R570,6.0,-0.556035578250885,115.0,151
85.0,UTEXAS_10000958_R999,6.13,-0.13253208994865417,168.0,224
86.0,UTEXAS_10000904_R944,6.3,-0.5723098516464233,111.0,147
87.0,UTEXAS_10000698_R730,6.4,-0.2121526449918747,164.0,215
88.0,UTEXAS_10000960_R1001,6.49,0.1015116274356842,192.0,264
89.0,UTEXAS_10000957_R998,6.68,0.20833319425582886,202.0,279
90.0,UTEXAS_10000323_R345,7.0,0.2706054747104645,207.0,291
91.0,UTEXAS_10000012_R14,8.1,-0.3457266092300415,144.0,189
92.0,UTEXAS_10000881_R920,8.2,0.10628706216812134,193.0,266
93.0,UTEXAS_10000903_R943,8.7,0.13901281356811523,196.0,270
94.0,UTEXAS_10001248_R1292,8.75,-0.5542563796043396,116.0,152
95.0,UTEXAS_10000542_R571,9.0,-0.5507073998451233,118.0,155
96.0,UTEXAS_10000883_R922,9.4,-0.6761077046394348,94.0,127
97.0,UTEXAS_10000657_R689,9.61,-0.35670197010040283,143.0,187
98.0,UTEXAS_10000885_R924,9.8,-0.7987244129180908,80.0,103
99.5,UTEXAS_10000607_R639,10.0,-1.9351720809936523,3.0,3
99.5,UTEXAS_10000545_R574,10.0,-0.5937525629997253,108.0,144
101.0,UTEXAS_10001376_R1424,10.2,-0.10697340965270996,170.0,227
102.0,UTEXAS_10001141_R1184,11.5,-0.3109336793422699,152.0,198
103.0,UTEXAS_10001375_R1423,12.0,-0.7075943946838379,91.0,120
104.0,UTEXAS_10000658_R690,12.08,-0.4336124658584595,137.0,178
105.0,UTEXAS_10000884_R923,13.4,0.45625099539756775,223.0,313
106.5,UTEXAS_10000544_R573,15.0,-0.774466335773468,82.0,105
106.5,UTEXAS_10001311_R1355,15.0,0.8353993892669678,252.0,352
108.0,UTEXAS_10001247_R1291,15.2,0.8697114586830139,254.0,354
109.0,UTEXAS_10001091_R1134,15.3497,0.753180980682373,251.0,348
110.0,UTEXAS_10000981_R1024,16.0,0.29126444458961487,210.0,296
111.0,UTEXAS_10000543_R572,17.0,-0.3589508533477783,142.0,186
112.0,UTEXAS_10000699_R731,17.1,-0.33439403772354126,147.0,192
113.0,UTEXAS_10000911_R951,18.0,-0.019055575132369995,179.0,241
114.0,UTEXAS_10000886_R925,18.9,0.006266772747039795,185.0,250
115.0,UTEXAS_10000546_R575,19.0,-0.8359583616256714,74.0,96
116.0,UTEXAS_10001377_R1425,19.3,-0.27540597319602966,158.0,205
117.0,UTEXAS_10001332_R1377,19.6,-0.6253702640533447,105.0,139
119.0,UTEXAS_10000910_R950,20.0,-0.27715012431144714,156.0,203
119.0,UTEXAS_10001327_R1371,20.0,-0.2736054062843323,159.0,206
119.0,UTEXAS_10000077_R82,20.0,2.1918833255767822,288.0,401
121.0,UTEXAS_10001101_R1144,20.5,-0.9189073443412781,63.0,82
122.0,UTEXAS_10000788_R822,20.9,-1.1499141454696655,46.0,57
123.0,UTEXAS_10000982_R1025,21.0,-0.2372913360595703,162.0,211
124.0,UTEXAS_10001374_R1422,21.3,-0.5672704577445984,112.0,148
125.5,UTEXAS_10000008_R10,23.0,-0.08402201533317566,172.0,232
125.5,UTEXAS_10000908_R948,23.0,0.7325229644775391,248.0,345
127.0,UTEXAS_10000914_R955,23.1,0.18310078978538513,200.0,275
128.0,UTEXAS_10001353_R1399,24.6,-1.3259726762771606,31.0,37
129.0,UTEXAS_10001310_R1354,25.0,0.11306965351104736,194.0,268
130.0,UTEXAS_10000909_R949,27.0,0.738563060760498,249.0,346
131.0,UTEXAS_10000370_R392,28.0,-1.6753733158111572,12.0,14
132.0,UTEXAS_10000640_R672,29.0,-0.38553571701049805,140.0,182
133.5,UTEXAS_10000983_R1026,30.0,-1.6454601287841797,13.0,15
133.5,UTEXAS_10000149_R164,30.0,2.1758782863616943,286.0,399
135.0,UTEXAS_10001166_R1210,32.0,-0.44165918231010437,136.0,177
136.0,UTEXAS_10001267_R1311,32.52,-0.9560746550559998,62.0,79
137.0,UTEXAS_10000789_R823,33.2,-0.3408908545970917,146.0,191
