task6_index,input_name,json_path,model_id,aptamer_id,target_normalized,nucleic_acid_type,protein_length,aptamer_length,total_polymer_length,kd_nm,boltz_target,split
0,task6_0000_utexas_10001056_r1099,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0000_utexas_10001056_r1099.json,UTEXAS_10001056_R1099,UTEXAS_10001056,Fluoroquinolones,DNA,237,98,335,0.11,-3.958607314841775,test
1,task6_0001_utexas_10001057_r1100,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0001_utexas_10001057_r1100.json,UTEXAS_10001057_R1100,UTEXAS_10001057,Fluoroquinolones,DNA,237,98,335,0.2,-3.6989700043360183,test
2,task6_0002_utexas_10001248_r1292,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0002_utexas_10001248_r1292.json,UTEXAS_10001248_R1292,UTEXAS_10001248,Annexin A2 (ANXA2),DNA,339,80,419,8.75,-2.057991946977687,test
3,task6_0003_utexas_10001152_r1196,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0003_utexas_10001152_r1196.json,UTEXAS_10001152_R1196,UTEXAS_10001152,Rhesus (Rh) D antigen,DNA,417,81,498,51.46,-1.288530218125672,test
4,task6_0004_utexas_10001055_r1098,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0004_utexas_10001055_r1098.json,UTEXAS_10001055_R1098,UTEXAS_10001055,Fluoroquinolones,DNA,237,97,334,56.9,-1.2448877336049289,test
5,task6_0005_utexas_10001153_r1197,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0005_utexas_10001153_r1197.json,UTEXAS_10001153_R1197,UTEXAS_10001153,Rhesus (Rh) D antigen,DNA,417,78,495,403.7,-0.3939412505896857,test
6,task6_0006_utexas_10001154_r1198,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0006_utexas_10001154_r1198.json,UTEXAS_10001154_R1198,UTEXAS_10001154,Rhesus (Rh) D antigen,DNA,417,81,498,543.3,-0.2649602949662792,test
7,task6_0007_utexas_10001412_r1461,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0007_utexas_10001412_r1461.json,UTEXAS_10001412_R1461,UTEXAS_10001412,D-arginine,RNA,375,38,413,135000.0,2.1303337684950066,test
8,task6_0008_utexas_10001319_r1363,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0008_utexas_10001319_r1363.json,UTEXAS_10001319_R1363,UTEXAS_10001319,C-reactive protein (CRP). Human,DNA,224,76,300,0.0062,-5.207608310501746,train
9,task6_0009_utexas_10000312_r334,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0009_utexas_10000312_r334.json,UTEXAS_10000312_R334,UTEXAS_10000312,"Basic fibroblast growth factor (bFGF(155)), Human",DNA,288,61,349,0.016,-4.795880017344075,train
