run_index,run_id,model_id,aptamer_id,serial_number,aptamer_name,nucleic_acid_type,aptamer_length,target_normalized,target_type,target_length,target_source_database,target_source_id,target_match,resolution_method,validation_reason,experimental_affinity_raw,experimental_kd_nm,doi,pubmed,yaml_path
1,task5_0001,UTEXAS_10000001_R3,UTEXAS_10000001,10000001,B4-25,RNA,133,Reactive Blue 4,ligand,,PubChem,25863,Reactive Blue 4,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd<100µM,100000,https://doi.org/10.1038/346818a0,https://pubmed.ncbi.nlm.nih.gov/1697402/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0001.yaml
2,task5_0002,UTEXAS_10000004_R6,UTEXAS_10000004,10000004,15 mer (colloquially known as Bock DNA Aptamer),DNA,15,"Thrombin (Sigma), Human",protein,622,UniProt,P00734,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Kd: 25-200 nM,112.5,https://doi.org/10.1038/355564a0,https://pubmed.ncbi.nlm.nih.gov/1741036/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0002.yaml
3,task5_0003,UTEXAS_10000005_R7,UTEXAS_10000005,10000005,6 mer (colloquially known as Bock DNA Aptamer),DNA,6,"Thrombin (Sigma), Human",protein,622,UniProt,P00734,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Kd: 25-200 nM,112.5,https://doi.org/10.1038/355564a0,https://pubmed.ncbi.nlm.nih.gov/1741036/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0003.yaml
4,task5_0004,UTEXAS_10000008_R10,UTEXAS_10000008,10000008,5A,RNA,77,Basic fibroblast growth factor (bFGF),protein,288,UniProt,P09038,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Kd: 23 ± 3 nM,23,https://doi.org/10.1073/pnas.90.23.11227,https://pubmed.ncbi.nlm.nih.gov/7504300/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0004.yaml
5,task5_0005,UTEXAS_10000009_R11,UTEXAS_10000009,10000009,7A,RNA,77,Basic fibroblast growth factor (bFGF),protein,288,UniProt,P09038,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Kd: 5.0 ± 0.5 nM,5,https://doi.org/10.1073/pnas.90.23.11227,https://pubmed.ncbi.nlm.nih.gov/7504300/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0005.yaml
6,task5_0006,UTEXAS_10000010_R12,UTEXAS_10000010,10000010,13A,RNA,77,Basic fibroblast growth factor (bFGF),protein,288,UniProt,P09038,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Kd: 3.2 ± 0.5 nM,3.2,https://doi.org/10.1073/pnas.90.23.11227,https://pubmed.ncbi.nlm.nih.gov/7504300/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0006.yaml
7,task5_0007,UTEXAS_10000011_R13,UTEXAS_10000011,10000011,14A,RNA,77,Basic fibroblast growth factor (bFGF),protein,288,UniProt,P09038,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Kd: 3.0 ± 0.5 nM,3,https://doi.org/10.1073/pnas.90.23.11227,https://pubmed.ncbi.nlm.nih.gov/7504300/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0007.yaml
8,task5_0008,UTEXAS_10000012_R14,UTEXAS_10000012,10000012,21A,RNA,77,Basic fibroblast growth factor (bFGF),protein,288,UniProt,P09038,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Kd: 8.1 ± 0.8 nM,8.1,https://doi.org/10.1073/pnas.90.23.11227,https://pubmed.ncbi.nlm.nih.gov/7504300/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0008.yaml
9,task5_0009,UTEXAS_10000013_R15,UTEXAS_10000013,10000013,12A,RNA,79,Basic fibroblast growth factor (bFGF),protein,288,UniProt,P09038,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,"Kd: exhibits biphasic binding, 0.51 ± 0.13 nM, 60 ± 52 nM",0.51,https://doi.org/10.1073/pnas.90.23.11227,https://pubmed.ncbi.nlm.nih.gov/7504300/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0009.yaml
10,task5_0010,UTEXAS_10000015_R17,UTEXAS_10000015,10000015,26A,RNA,79,Basic fibroblast growth factor (bFGF),protein,288,UniProt,P09038,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,"Kd: exhibits biphasic binding, 0.19 ± 0.02 nM, 49 ± 26 nM",0.19,https://doi.org/10.1073/pnas.90.23.11227,https://pubmed.ncbi.nlm.nih.gov/7504300/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0010.yaml
