model_id,target,aptamer,aptamer_type,experimental_kd_nm,job_id,sample,ranking_score,ptm,iptm,protein_aptamer_iptm,protein_aptamer_pae_min,has_clash
UTEXAS_10000969_R1012,Human eIF4E (P06730),Apt 1,DNA,,2952322,0,0.16,0.19,0.04,0.04,30.58,0.0
UTEXAS_10000969_R1012,Human eIF4E (P06730),Apt 1,DNA,,2952322,1,0.17,0.19,0.04,0.04,30.7,0.0
UTEXAS_10000969_R1012,Human eIF4E (P06730),Apt 1,DNA,,2952322,2,0.17,0.19,0.05,0.05,26.28,0.0
UTEXAS_10000969_R1012,Human eIF4E (P06730),Apt 1,DNA,,2952322,3,0.22,0.2,0.04,0.04,30.76,0.0
UTEXAS_10000969_R1012,Human eIF4E (P06730),Apt 1,DNA,,2952322,4,0.19,0.2,0.04,0.04,30.0,0.0
UTEXAS_10000342_R364,Mouse CCL2/MCP-1 (P10148 Q24-R96),ADR7,RNA,0.18,2953660,0,0.27,0.42,0.14,0.14,12.25,0.0
UTEXAS_10000342_R364,Mouse CCL2/MCP-1 (P10148 Q24-R96),ADR7,RNA,0.18,2953660,1,0.17,0.43,0.1,0.1,13.0,0.0
UTEXAS_10000342_R364,Mouse CCL2/MCP-1 (P10148 Q24-R96),ADR7,RNA,0.18,2953660,2,0.22,0.38,0.1,0.1,13.21,0.0
UTEXAS_10000342_R364,Mouse CCL2/MCP-1 (P10148 Q24-R96),ADR7,RNA,0.18,2953660,3,0.29,0.41,0.15,0.15,11.93,0.0
UTEXAS_10000342_R364,Mouse CCL2/MCP-1 (P10148 Q24-R96),ADR7,RNA,0.18,2953660,4,0.23,0.36,0.07,0.07,14.83,0.0
